ward_no,ward_name,zone,ndvi_change,lst_change_c,heat_risk_score
115,BALAJI NAGAR,KUKATPALLY ZONE,-0.0853994088243091,1.5175497156403708,2.371543803883462
99,VENGALRAO NAGAR,SERILINGAMPALLY ZONE,-0.049887491772029086,1.4046900781090272,1.9035649958293182
116,ALLAPUR,KUKATPALLY ZONE,-0.0652812165514747,1.2327119590277746,1.8855241245425216
68,TOLICHOWKI,KHAIRATHABAD ZONE,-0.08758773753811502,0.8200150282092764,1.6958924035904266
112,RAMACHANDRAPURAM,SERILINGAMPALLY ZONE,-0.07356756369827759,0.8696219265642853,1.6052975635470612
92,VENKATESHWARA COLONY,KHAIRATHABAD ZONE,-0.06481741070796479,0.9206497250325327,1.5688238321121806
96,YOUSUFGUDA,SERILINGAMPALLY ZONE,-0.0343875549142279,1.1358913848430987,1.4797669339853776
120,BALA NAGAR,KUKATPALLY ZONE,-0.0706166426870313,0.7500653951215881,1.456231821991901
118,FATEH NAGAR,KUKATPALLY ZONE,-0.034118805687549394,1.0346426164162494,1.3758306732917434
67,GOLCONDA,KHAIRATHABAD ZONE,-0.0611376118454888,0.7278307047344441,1.3392068231893322
113,PATANCHERUVU,SERILINGAMPALLY ZONE,-0.0972182120951004,0.33354506516673155,1.3057271861177355
66,LUNGER HOUSE,KHAIRATHABAD ZONE,-0.0786680481648463,0.4409639944722983,1.2276444761207612
69,NANALNAGAR,KHAIRATHABAD ZONE,-0.06751105112656189,0.501804200332046,1.1769147115976648
110,CHANDANAGAR,SERILINGAMPALLY ZONE,-0.05848857875358379,0.5680597794500457,1.1529455669858837
124,ALLYWN COLONY,KUKATPALLY ZONE,-0.05833580101148861,0.533397204485496,1.116755214600382
101,ERRAGADDA,SERILINGAMPALLY ZONE,-0.035800547411520695,0.7390983222332821,1.097103796348489
108,MIYAPUR,SERILINGAMPALLY ZONE,-0.06890373219020929,0.3950273135480842,1.084064635450177
95,JUBILEE HILLS,KHAIRATHABAD ZONE,-0.046621924809828685,0.589255766088165,1.055475014186452
149,BEGUMPET,SECUNDERABAD ZONE,-0.044399291756669595,0.5763418776899414,1.0203347952566373
107,MADHAPUR,SERILINGAMPALLY ZONE,-0.0807850664443436,0.20119507730502306,1.009045741748459
59,MAILARDEVPALLY,CHARMINAR ZONE,-0.0846661229800448,0.12790551700145159,0.9745667468018997
117,MOOSAPET,KUKATPALLY ZONE,-0.0199079320082379,0.7486941923904524,0.9477735124728315
74,AHMED NAGAR,KHAIRATHABAD ZONE,-0.051500262441284,0.4282933637921431,0.9432959882049832
1,KAPRA,L.B.NAGAR ZONE,-0.06625906194413309,0.22395122392284605,0.886541843364177
125,GAJULARAMARAM,KUKATPALLY ZONE,-0.06035683244457729,0.24213080531781372,0.8456991297635866
98,AMEERPET,KHAIRATHABAD ZONE,-0.0278695445796161,0.4956825463844723,0.7743779921806333
61,ATTAPUR,CHARMINAR ZONE,-0.07513990026497878,0.002284465504452271,0.7536834681542401
10,UPPAL,L.B.NAGAR ZONE,-0.11589350714773719,-0.5055289833746883,0.6534060881026835
70,MEHDIPATNAM,KHAIRATHABAD ZONE,-0.028983988845372996,0.3418062101961894,0.6316460986499194
42,BARKAS,CHARMINAR ZONE,-0.061878563224639194,0.007481188586758947,0.6262668208331509
55,RAMNASTPURA,CHARMINAR ZONE,0.02153744114108269,0.7919617493186166,0.5765873379077897
94,SHAIKPET,KHAIRATHABAD ZONE,-0.044794786675537004,0.07691166431205687,0.5248595310674269
41,KANCHANBAGH,CHARMINAR ZONE,-0.11335908791247268,-0.6222010126348962,0.5113898664898304
93,BANJARA HILLS,KHAIRATHABAD ZONE,-0.03218667401456579,0.16881646850639243,0.49068320865205034
102,RAHAMATH NAGAR,SERILINGAMPALLY ZONE,-0.023197344289759197,0.2168792104002648,0.4488526532978568
129,SURARAM,KUKATPALLY ZONE,-0.06496605891666651,-0.22562281684596996,0.42403777232069517
5,MALLAPUR,L.B.NAGAR ZONE,-0.08656076623498818,-0.4494531522524099,0.41615451009747195
105,GACHIBOWLI,SERILINGAMPALLY ZONE,-0.09989651631654228,-0.610302937487333,0.38866222567808983
121,KUKATPALLY,KUKATPALLY ZONE,-0.0403114385099714,-0.055562198007017116,0.3475521870926969
57,SULEMAN NAGAR,CHARMINAR ZONE,-0.05689542123782659,-0.23387677882876545,0.3350774335495005
60,RAJENDRANAGAR,CHARMINAR ZONE,-0.09172889156639671,-0.602818354196188,0.3144705614677792
114,K.P.H.B.COLONY,KUKATPALLY ZONE,-0.04333312278060761,-0.13467199626021653,0.29865923154585955
126,JAGADGIRI GUTTA,KUKATPALLY ZONE,-0.034380985479330814,-0.049121463916350194,0.294688390876958
123,HYDER NAGAR,KUKATPALLY ZONE,-0.036150348690981604,-0.08803814026333612,0.2734653466464799
58,SHASTRIPURAM,CHARMINAR ZONE,-0.0633789803923151,-0.41296696031876934,0.22082284360438165
127,RANGAREDDY NAGAR,KUKATPALLY ZONE,-0.011452173143253613,0.10214062764003273,0.21666235907256887
71,GUDIMALKAPUR,KHAIRATHABAD ZONE,-0.0409397711959133,-0.20192261244381626,0.20747509951531673
100,SANATH NAGAR,KHAIRATHABAD ZONE,-0.026272250796680607,-0.06252990874754971,0.20019259921925636
104,KONDAPUR,SERILINGAMPALLY ZONE,-0.07208908703277939,-0.567032736994463,0.15385813333333087
122,VIVEKANANDA NAGAR COLONY,KUKATPALLY ZONE,-0.016107657101653794,-0.024662060444597955,0.13641451057193998
139,EAST ANAND BAGH,SECUNDERABAD ZONE,-0.06819060022046461,-0.5550892094619684,0.12681679274267776
3,CHERLAPALLY,L.B.NAGAR ZONE,-0.08050822565253071,-0.690508235954276,0.11457402057103105
8,HABSIGUDA,L.B.NAGAR ZONE,-0.087717402437339,-0.7654459553218373,0.11172806905155264
2,DR.A.S.RAO NAGAR,L.B.NAGAR ZONE,-0.06075306014852719,-0.5042638542218896,0.10326674726338236
144,METTUGUDA,SECUNDERABAD ZONE,-0.060722036699141724,-0.6287555441236208,-0.021535177132203542
83,AMBERPET,SECUNDERABAD ZONE,-0.09140757698026938,-0.9463283482859097,-0.03225257848321594
9,RAMANTHAPUR,L.B.NAGAR ZONE,-0.091082541733965,-0.9443109621904355,-0.033485544850785476
106,SERILINGAMPALLY,SERILINGAMPALLY ZONE,-0.0894751243117132,-0.9421991759251611,-0.04744793280802906
4,MEERPET H.B.COLONY,L.B.NAGAR ZONE,-0.0902662424117156,-0.9964496998482844,-0.09378727573112833
142,ADDAGUTTA,SECUNDERABAD ZONE,-0.05157986218217889,-0.6237553265986691,-0.10795670477688013
46,FALAKNUMA,CHARMINAR ZONE,-0.0461738651055439,-0.5703161395090959,-0.10857748845365689
