year,ward_no,ward_name,circle,zone,mean_ndvi
2016,127,RANGAREDDY NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.14999045314702988
2016,119,OLD BOWENPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.15114604593055672
2016,145,SEETHAPHALMANDI,29-SECUNDERABAD,SECUNDERABAD ZONE,0.1024115395862569
2016,146,BOUDHA NAGAR,29-SECUNDERABAD,SECUNDERABAD ZONE,0.08986323860301479
2016,147,BANSILALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.15291404403269782
2016,144,METTUGUDA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.23102296834821837
2016,148,RAMGOPALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1147227150126457
2016,150,MONDA  MARKET,30-BEGUMPET,SECUNDERABAD ZONE,0.13378520439147526
2016,136,NEREDMET,28-MALKAJGIRI,SECUNDERABAD ZONE,0.22600440246379486
2016,141,GOUTHAM NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1473170493026065
2016,140,MALKAJGIRI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.15620814918619727
2016,139,EAST ANAND BAGH,28-MALKAJGIRI,SECUNDERABAD ZONE,0.21278806371244033
2016,142,ADDAGUTTA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.2018522333260629
2016,137,VINAYAK NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.14850660577451202
2016,134,ALWAL,27-ALWAL,KUKATPALLY ZONE,0.1805350165832152
2016,132,JEEDIMETLA,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.21758881962210322
2016,CONTONMENT AREA,,CANTONMENT AREA,,0.1996801270330474
2016,120,BALA NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.2893257172034695
2016,130,SUBHASH NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.15394072012898463
2016,131,QUTHBULLAPUR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.1949027983152179
2016,121,KUKATPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.13952940360069999
2016,125,GAJULARAMARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.19375120531074555
2016,124,ALLYWN COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.16841259102946646
2016,114,K.P.H.B.COLONY,23-MOOSAPET,KUKATPALLY ZONE,0.1938060293707319
2016,116,ALLAPUR,23-MOOSAPET,KUKATPALLY ZONE,0.17590661305862695
2016,115,BALAJI NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.24934687908859343
2016,117,MOOSAPET,23-MOOSAPET,KUKATPALLY ZONE,0.11635500739825635
2016,105,GACHIBOWLI,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.27070083262149874
2016,110,CHANDANAGAR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.20255280853971033
2016,111,BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.194913790817646
2016,106,SERILINGAMPALLY,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.2521137903553009
2016,104,KONDAPUR,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.19727399790581887
