year,ward_no,ward_name,circle,zone,mean_ndvi,mean_lst_c
2016,127,RANGAREDDY NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.1499904531470298,39.69815021050962
2016,119,OLD BOWENPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.1511460459305567,39.05289522339023
2016,145,SEETHAPHALMANDI,29-SECUNDERABAD,SECUNDERABAD ZONE,0.1024115395862569,41.15919525977415
2016,146,BOUDHA NAGAR,29-SECUNDERABAD,SECUNDERABAD ZONE,0.0898632386030147,41.510923848763966
2016,147,BANSILALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1529140440326978,40.433743305347825
2016,144,METTUGUDA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.2310229683482183,39.192686024342244
2016,148,RAMGOPALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1147227150126457,40.21705439427116
2016,150,MONDA  MARKET,30-BEGUMPET,SECUNDERABAD ZONE,0.1337852043914752,39.652747583185814
2016,136,NEREDMET,28-MALKAJGIRI,SECUNDERABAD ZONE,0.2260044024637948,38.261363177272116
2016,141,GOUTHAM NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1473170493026065,39.35523195433769
2016,140,MALKAJGIRI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1562081491861972,38.60300269810407
2016,139,EAST ANAND BAGH,28-MALKAJGIRI,SECUNDERABAD ZONE,0.2127880637124403,38.99745455161518
2016,142,ADDAGUTTA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.2018522333260629,39.251211809247884
2016,137,VINAYAK NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.148506605774512,38.61825670002966
2016,134,ALWAL,27-ALWAL,KUKATPALLY ZONE,0.1805350165832152,38.979151978197166
2016,132,JEEDIMETLA,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.2175888196221032,39.65909485946876
2016,CONTONMENT AREA,,CANTONMENT AREA,,0.1996801270330474,41.018947170446395
2016,120,BALA NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.2893257172034695,37.402033662407526
2016,130,SUBHASH NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.1539407201289846,41.50551581558885
2016,131,QUTHBULLAPUR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.1949027983152179,38.85806293051256
2016,121,KUKATPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.1395294036006999,38.99671875485919
2016,125,GAJULARAMARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.1937512053107455,39.123476988821686
2016,124,ALLYWN COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.1684125910294664,38.04872710373057
2016,114,K.P.H.B.COLONY,23-MOOSAPET,KUKATPALLY ZONE,0.1938060293707319,38.81004857074436
2016,116,ALLAPUR,23-MOOSAPET,KUKATPALLY ZONE,0.1759066130586269,38.943878618592294
2016,115,BALAJI NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.2493468790885934,37.33924277456651
2016,117,MOOSAPET,23-MOOSAPET,KUKATPALLY ZONE,0.1163550073982563,39.67270467440692
2016,105,GACHIBOWLI,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.2707008326214987,40.091597387793776
2016,110,CHANDANAGAR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.2025528085397103,38.06582047149441
2016,111,BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.194913790817646,39.78455847903543
2016,106,SERILINGAMPALLY,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.2521137903553009,39.29648317430072
2016,104,KONDAPUR,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.1972739979058188,39.42337590853356
2016,109,HAFEEZPET,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.1726104673926026,39.42852231645508
2016,118,FATEH NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.1448360647074106,39.445966048285946
2016,143,TARNAKA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.1976589017069294,39.632406731510194
2016,8,HABSIGUDA,2-UPPAL,L.B.NAGAR ZONE,0.2663573080386465,38.79061451328151
2016,40,RIYASATNAGAR,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.1230309968531562,40.92509148956978
2016,36,LALITHABAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.1120920290365412,41.31391939262536
2016,34,TALABCHANCHALAM,7-SANTOSH NAGAR,CHARMINAR ZONE,0.0598703768207147,43.02825194559168
2016,22,CHAITHANYAPURI,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1652336399807053,40.56461224048913
2016,37,KURMAGUDA,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1041783711083311,42.67824723365273
2016,31,REIN BAZAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.0747574063061289,43.23264692684739
2016,29,CHAWANI,6-MALAKPET,CHARMINAR ZONE,0.1224973388563909,41.73653577592316
2016,38,I.S.SADAN,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1455764133114244,39.94984369622493
2016,18,LINGOJIGUDA,4-LB. NAGAR,L.B.NAGAR ZONE,0.140009338482666,42.201770911344624
2016,16,HASTHINAPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.1918444434163843,42.55495511791622
2016,20,R.K.PURAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1322777003805069,41.53132926656302
2016,19,SAROORNAGAR,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.135841591758278,41.52707229113959
2016,14,B.N.REDDY NAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2563728023853022,42.00283449690447
2016,12,MANSOORABAD,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2364730124327705,42.27858276109162
2016,21,KOTHAPET,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1628279770526949,41.375994802780376
2016,11,NAGOLE,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2685531108113104,40.43643113035174
2016,10,UPPAL,2-UPPAL,L.B.NAGAR ZONE,0.2476558475621365,40.338267853920776
2016,GRAMPANCHAYAT PEERZADI GUDA,,GRAMPANCHAYAT PEERZADIGUDA,,0.1567954368534048,38.54850321967397
2016,KALAVANCHA GRAM PANCHAYATH,,KALAVANCHA GRAMPANCHAYATH,,0.1786770422595058,41.74492579054184
2016,13,HAYATHNAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2558136040707922,42.55579616261264
2016,15,VANASTHALIPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.1797995081760889,42.295699830959876
2016,26,OLD MALAKPET,6-MALAKPET,CHARMINAR ZONE,0.1799677698382252,40.37457959066747
2016,17,CHAMPAPET,4-LB. NAGAR,L.B.NAGAR ZONE,0.1306879812064007,41.85859541608714
2016,39,SANTOSH NAGAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1331543926990546,40.79273258786441
2016,66,LUNGER HOUSE,13-KARWAN,KHAIRATHABAD ZONE,0.2839838585170313,38.58902730917416
2016,112,RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.195445462789208,39.088451660874334
2016,128,CHINTAL,26-GAJULARAMARAM,KUKATPALLY ZONE,0.236973740199886,39.236261477604295
2016,126,JAGADGIRI GUTTA,26-GAJULARAMARAM,KUKATPALLY ZONE,0.154824130564531,38.86782377528927
2016,129,SURARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.22236700954433,39.501381425852216
2016,133,MACHABOLARUM,27-ALWAL,KUKATPALLY ZONE,0.2277392079884153,40.00190094053892
2016,138,MOULA-ALI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1494532495839142,39.063102442971925
2016,107,MADHAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.2000232191986262,39.40531809389291
2016,OU,,OU,,0.3770673860265722,37.581055660361805
2016,149,BEGUMPET,30-BEGUMPET,SECUNDERABAD ZONE,0.208781897443757,39.0435561924447
2016,135,VENKATAPURAM,27-ALWAL,KUKATPALLY ZONE,0.1807558027801269,39.18710038890501
